x_value,total_1,total_2
0,1000,1000
1,1004,995
2,1000,992
3,1004,997
4,1011,1000
5,1009,998
6,1016,997
7,1017,1002
8,1024,1004
9,1020,999
10,1014,1002
11,1012,1006
12,1009,1005
13,1004,1000
14,998,1003
15,995,1006
16,990,1009
17,985,1015
18,993,1010
19,999,1015
20,1007,1019
21,1015,1022
22,1014,1024
23,1012,1026
24,1019,1024
25,1026,1024
26,1031,1023
27,1037,1025
28,1042,1022
29,1046,1027
30,1054,1031
31,1049,1027
32,1051,1030
33,1049,1033
34,1047,1035
35,1051,1039
36,1050,1035
37,1056,1036
38,1052,1034
39,1059,1030
40,1066,1029
41,1062,1032
42,1057,1030
43,1057,1029
44,1051,1030
45,1047,1028
46,1046,1029
47,1052,1029
48,1059,1028
49,1053,1029
50,1061,1033
51,1055,1036
52,1054,1032
53,1059,1034
54,1067,1034
55,1073,1031
56,1080,1028
57,1085,1029
58,1090,1025
59,1087,1027
60,1088,1027
61,1088,1026
62,1087,1030
63,1089,1027
64,1083,1031
65,1082,1027
66,1083,1027
67,1080,1022
68,1076,1019
69,1081,1016
70,1088,1012
71,1088,1010
72,1095,1010
73,1100,1006
74,1102,1008
75,1102,1009
76,1109,1012
77,1103,1011
78,1099,1010
79,1099,1016
80,1099,1011
81,1104,1012
82,1105,1014
83,1103,1016
84,1106,1018
85,1112,1017
86,1111,1018
87,1113,1014
88,1107,1014
89,1104,1016
90,1105,1013
91,1112,1016
92,1120,1019
93,1124,1014
94,1123,1019
95,1118,1024
96,1121,1030
97,1127,1029
98,1127,1028
99,1127,1031
100,1123,1037
101,1118,1038
102,1115,1037
103,1115,1042
104,1115,1041
105,1111,1037
106,1116,1035
107,1124,1039
108,1125,1036
109,1128,1035
110,1132,1038
111,1138,1033
112,1146,1034
113,1143,1032
114,1149,1032
115,1156,1036
116,1156,1033
117,1160,1035
118,1165,1032
119,1164,1028
120,1166,1031
121,1169,1037
122,1171,1033
123,1175,1036
124,1178,1035
125,1185,1036
126,1179,1037
127,1186,1032
128,1192,1030
129,1186,1035
130,1191,1030
131,1190,1035
132,1194,1034
133,1190,1040
134,1186,1045
135,1186,1046
136,1180,1049
137,1180,1049
138,1178,1054
139,1178,1054
140,1184,1050
141,1178,1055
142,1182,1053
143,1184,1051
144,1189,1053
145,1191,1052
146,1190,1048
147,1191,1046
148,1185,1043
149,1186,1039
150,1184,1034
151,1187,1038
152,1186,1034
153,1192,1039
154,1197,1044
155,1201,1039
156,1198,1034
157,1204,1040
158,1203,1041
159,1203,1042
160,1199,1044
161,1200,1042
162,1203,1048
163,1204,1052
164,1206,1050
165,1202,1053
166,1197,1057
167,1193,1058
168,1199,1064
169,1199,1064
170,1204,1061
171,1212,1063
172,1212,1068
173,1219,1064
174,1225,1063
175,1219,1058
176,1222,1054
177,1222,1056
178,1223,1058
179,1225,1064
180,1220,1069
181,1224,1067
182,1229,1067
183,1224,1063
184,1221,1066
185,1216,1066
186,1217,1063
187,1212,1064
188,1208,1067
189,1216,1072
190,1213,1074
191,1217,1078
192,1216,1073
193,1224,1078
194,1223,1079
195,1227,1077
196,1224,1081
197,1230,1083
198,1237,1089
199,1245,1088
200,1244,1087
201,1246,1085
202,1240,1082
203,1238,1080
204,1245,1078
205,1246,1083
206,1242,1081
207,1250,1076
208,1256,1079
209,1263,1076
210,1265,1073
211,1264,1077
212,1262,1077
213,1269,1083
214,1273,1084
215,1269,1080
216,1263,1082
217,1263,1084
218,1257,1080
219,1257,1083
220,1261,1088
221,1259,1086
222,1262,1086
223,1269,1089
224,1270,1092
225,1267,1088
226,1267,1087
227,1262,1091
228,1259,1087
229,1254,1087
230,1250,1091
231,1256,1090
232,1254,1089
233,1250,1093
234,1253,1092
235,1255,1087
236,1253,1093
237,1258,1098
238,1262,1095
239,1259,1093
240,1254,1098
241,1261,1098
242,1266,1094
243,1274,1093
244,1282,1098
245,1289,1100
246,1295,1102
247,1292,1103
248,1293,1106
249,1288,1102
250,1286,1098
251,1284,1094
252,1279,1089
253,1276,1094
254,1279,1095
255,1280,1093
256,1276,1090
257,1274,1085
258,1273,1089
259,1276,1093
260,1281,1096
261,1278,1101
262,1274,1099
263,1275,1094
264,1275,1094
265,1282,1089
266,1284,1091
267,1282,1089
268,1284,1091
269,1278,1087
270,1280,1084
271,1280,1089
272,1275,1086
273,1282,1086
274,1281,1084
275,1288,1087
276,1292,1089
277,1293,1092
278,1298,1098
279,1305,1103
280,1299,1104
281,1294,1109
282,1302,1111
283,1310,1116
